id,name,city,country,erasmus
1,"Orta Doğu Teknik Üniversitesi",Ankara,Turkey,0
2,"Boğaziçi Üniversitesi",İstanbul,Turkey,0
3,"Hacettepe Üniversitesi",Ankara,Turkey,0
4,"Sabancı Üniversitesi",İstanbul,Turkey,0
5,"Lappeenranta University of Technology",Lappeenranta,Finland,0
6,"University of Fribourg",Fribourg,Switzerland,0
7,"TOBB Ekonomi ve Teknoloji Üniversitesi",Ankara,Turkey,0
8,"İstanbul Teknik Üniversitesi",İstanbul,Turkey,0
9,"Beykent Üniversitesi",İstanbul,Turkey,0
10,"Atılım Üniversitesi",Ankara,Turkey,0
13,"Yıldız Teknik Üniversitesi",Ankara,Turkey,0
14,"University of Cassino",Cassino,Italy,1
15,"Technical University of Liberec",Liberec,"Czech Republic",1
16,"University of Malaga",Malaga,Spain,1
17,"Westsächsische Hochschule Zwickau",Zwickau,Germany,1
18,"Chalmers University of Technology",Gothenburg,Sweden,0
19,"Erciyes Üniversitesi",Kayseri,Turkey,0
20,"ETH Zurich",Zurich,Switzerland,0
21,"Başkent Üniversitesi",Ankara,Turkey,0
30,"Ankara Üniversitesi",Ankara,Turkey,0
31,"Bilkent Üniversitesi",Ankara,Turkey,0
32,"Politecnico di Milano",Milano,Italy,0
33,"RWTH Aachen University",Aachen,Germany,1
34,"Gazi Üniversitesi",Ankara,Turkey,0
40,"Anadolu Üniversitesi",Eskişehir,Turkey,0
41,"Özyeğin Üniversitesi",İstanbul,Turkey,0
42,"Universitaet Duisburg-Essen",Duisburg-Essen,Germany,1
43,"Celal Bayar Üniversitesi",Manisa,Turkey,0
44,"İzmir Ekonomi Üniversitesi",İzmir,Turkey,0
45,"Marmara Üniversitesi",İstanbul,Turkey,0
46,"İzmir Yüksek Teknoloji Enstitüsü",İzmir,Turkey,0
47,"İstanbul Üniversitesi",İstanbul,Turkey,0
48,"Eindhoven University of Technology",Eindhoven,Netherlands,1
49,"Nişantaşı Üniversitesi",İstanbul,Turkey,0
50,"National Chengchi University",Taipei,Taiwan,0
51,"Galatasaray Üniversitesi",İstanbul,Turkey,0
53,"Linköping University",Norrköping,Sweden,0
54,"University of Lodz",Łódź,Poland,1
55,"NOVA University of Lisbon",Lisbon,Portugal,1
56,"University of Alcalá",Madrid,Spain,1
57,"Bahçeşehir Üniversitesi",İstanbul,Turkey,0
58,"Ahmet Yesevi Üniversitesi",Ankara,Turkey,0
59,"Yıldırım Beyazıt Üniversitesi",Ankara,Turkey,0
60,"Queen Mary University of London",London,"United Kingdom",0
61,"Yeditepe Üniversitesi",İstanbul,Turkey,0
62,"University of Salamanca",Salamanca,Spain,1
64,"Eskişehir Osmangazi Üniversitesi",Eskişehir,Turkey,0
65,"Università degli Studi di Palermo",Palermo,Italy,0
66,"Technical University of Munich",Munich,Germany,0
69,"Süleyman Demirel Üniversitesi",Ankara,Turkey,0
70,"City University",London,"United Kingdom",0
71,"Selçuk Üniversitesi",Konya,Turkey,0
72,"Sapienza Universita di Roma",Roma,Italy,0
73,"İzmir Katip Çelebi Üniversitesi",İzmir,Turkey,0
74,DHO,İstanbul,Turkey,0
75,"Muğla Üniversitesi",Muğla,Turkey,0
77,"Pamukkale Üniversitesi",Denizli,Turkey,0
78,"University of Granada",Granada,Spain,0
79,"University of Southampton",Southampton,"United Kingdom",0
80,"Atatürk Üniversitesi",Erzurum,Turkey,0
81,"York University",Toronto,Canada,0
82,"Koç Üniversitesi",İstanbul,Turkey,0
84,"Technische Universität Berlin",Berlin,Germany,0
85,"Bursa Uludağ Üniversitesi",Bursa,Turkey,0
86,"Çukurova Üniversitesi",Adana,Turkey,0
87,"Duke University",Durham,"United States",0
88,"Sakarya Üniversitesi",Sakarya,Turkey,0
89,"Dokuz Eylül Üniversitesi",İzmir,Turkey,0
90,"TÜRK HAVA KURUMU ÜNİVERSİTESİ",ANKARA,Turkey,0
91,"KARADENİZ TEKNİK ÜNİVERSİTESİ",Trabzon,Turkey,0
92,"University of Oxford",Oxfordshire,"United Kingdom",0
